"LeftTag","RightTag","DataType","Month","Day","Year","Ranch","Part","Recapture","Sex","EstAge","KnownAgeAdj","AdjWt","geometry.x","Ges","TrdTri","Apr","Fawn","FstMon","Sept","Lac","PGes","PTrdTri","PApr","PFawn","PFstMon","PSept","PLac","ranch","MassKg"
2883,"2884","Capture",11,18,2012,"SAV","S","NO","F",1.5,1.5,75,"c(521818.1226",109.79374560155,98.4710756186396,11.3226699829102,58.5935023175553,35.9922703374177,42.1517010293901,101.740232401062,94.6108051091433,94.6108051091433,0,71.2297158986331,1.26224142313004,61.8357282280922,124.43631731905,"SAV-S",34.0194
3603,"3604","Capture",11,15,2013,"SAV","N","NO","M",1.5,1.5,97,"c(519996.1185",184.901305219711,118.740000924648,66.6447241008282,19.4330794662237,12.9724047482014,125.359145304188,144.473654197965,133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,"SAV-N",43.998424
3611,"3612","Capture",11,15,2013,"SAV","N","NO","M",1.5,1.5,81,"c(520001.0202",184.901305219711,118.740000924648,66.6447241008282,19.4330794662237,12.9724047482014,125.359145304188,144.473654197965,133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,"SAV-N",36.740952
3613,"3614","Capture",11,15,2013,"SAV","N","NO","F",1.5,1.5,62,"c(520001.0202",184.901305219711,118.740000924648,66.6447241008282,19.4330794662237,12.9724047482014,125.359145304188,144.473654197965,133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,"SAV-N",28.122704
3648,"3649","Capture",11,15,2013,"SAV","N","NO","M",1.5,1.5,85,"c(524273.7485",184.05180091443,118.217796614715,66.4151945281774,18.4769440740347,13.8560506701469,118.811628879688,139.409700917997,147.140357127413,85.7574814464897,61.3828756809235,130.947060916573,99.4532704651356,41.0252809049562,151.634162527509,"SAV-N",38.55532
3662,"3663","Capture",11,15,2013,"SAV","N","NO","F",1.5,1.5,77,"c(524295.9171",184.05180091443,118.217796614715,66.4151945281774,18.4769440740347,13.8560506701469,118.811628879688,139.409700917997,147.140357127413,85.7574814464897,61.3828756809235,130.947060916573,99.4532704651356,41.0252809049562,151.634162527509,"SAV-N",34.926584
3739,"3740","Capture",11,16,2013,"SAV","E","NO","F",1.5,1.5,76,"c(524865.4257",244.407275751233,178.035016342998,66.5981190204621,30.4145366596058,9.04727131593972,159.475316748023,187.56812661048,152.198252564704,133.525584524905,18.6726680397988,93.6679274216295,70.0815452635288,35.3213791269809,125.58114893036,"SAV-N",34.472992
3757,"3756","Capture",11,16,2013,"SAV","E","NO","M",1.5,1.5,79,"c(525438.7332",244.407275751233,178.035016342998,66.5981190204621,30.4145366596058,9.04727131593972,159.475316748023,187.56812661048,152.198252564704,133.525584524905,18.6726680397988,93.6679274216295,70.0815452635288,35.3213791269809,125.58114893036,"SAV-N",35.833768
3761,"3760","Capture",11,16,2013,"SAV","E","NO","M",1.5,1.5,76,"c(525433.8802",244.407275751233,178.035016342998,66.5981190204621,30.4145366596058,9.04727131593972,159.475316748023,187.56812661048,152.198252564704,133.525584524905,18.6726680397988,93.6679274216295,70.0815452635288,35.3213791269809,125.58114893036,"SAV-N",34.472992
3766,"3767","Capture",11,16,2013,"SAV","E","NO","M",1.5,1.5,71,"c(525812.5927",244.407275751233,178.035016342998,66.5981190204621,30.4145366596058,9.04727131593972,159.475316748023,187.56812661048,152.198252564704,133.525584524905,18.6726680397988,93.6679274216295,70.0815452635288,35.3213791269809,125.58114893036,"SAV-N",32.205032
3770,"3771","Capture",11,16,2013,"SAV","E","NO","M",1.5,1.5,80,"c(525642.2984",244.407275751233,178.035016342998,66.5981190204621,30.4145366596058,9.04727131593972,159.475316748023,187.56812661048,152.198252564704,133.525584524905,18.6726680397988,93.6679274216295,70.0815452635288,35.3213791269809,125.58114893036,"SAV-N",36.28736
3796,"3797","Capture",11,16,2013,"SAV","E","NO","M",1.5,1.5,84,"c(528355.2176",221.359449803829,153.83116065152,67.7533173691482,25.1578972366406,9.31853628426325,143.716367408633,172.657552138786,166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,"SAV-N",38.101728
3859,"3860","Capture",11,16,2013,"SAV","E","NO","F",1.5,1.5,74,"c(528159.1383",221.359449803829,153.83116065152,67.7533173691482,25.1578972366406,9.31853628426325,143.716367408633,172.657552138786,166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,"SAV-N",33.565808
3915,"3916","Capture",11,17,2013,"SAV","S","NO","F",1.5,1.5,63,"c(523979.8117",218.647394028238,160.774329063228,58.305175036192,47.3964409877008,20.2344443341717,181.984055018984,211.250721802935,115.310769446354,98.8959512786679,16.4148181676865,69.9271918595187,47.5958517491818,42.9424033463002,122.925648111297,"SAV-S",28.576296
4579,"4580","Capture",11,14,2014,"SAV","N","NO","M",1.5,1.5,91,"c(521378.3533",124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,184.901305219711,118.740000924648,66.6447241008282,19.4330794662237,12.9724047482014,125.359145304188,144.473654197965,"SAV-N",41.276872
4589,"4590","Capture",11,14,2014,"SAV","N","NO","F",1.5,1.5,87,"c(521363.4368",124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,184.901305219711,118.740000924648,66.6447241008282,19.4330794662237,12.9724047482014,125.359145304188,144.473654197965,"SAV-N",39.462504
4666,"4667","Capture",11,15,2014,"SAV","E","NO","F",1.5,1.5,91,"c(527717.4497",81.1586802611128,78.8444761438296,2.31420411728322,58.2131517522503,43.1297155211214,134.337304241955,188.688948432216,221.359449803829,153.83116065152,67.7533173691482,25.1578972366406,9.31853628426325,143.716367408633,172.657552138786,"SAV-N",41.276872
4884,"4885","Capture",11,15,2015,"SAV","S","YES","M",1.5,1.5,135,"c(522452.4115",336.866477404255,187.711689489894,149.343895266298,84.9393475456163,0,60.6576140160032,188.483766400284,68.0622118853498,65.94167224993,2.12053963541985,33.8903221033979,15.4751694947481,137.89922688785,164.778958192794,"SAV-S",61.23492
5054,"5055","Capture",11,6,2015,"SAV","N","NO","F",1.5,1.5,100,"c(521780.9811",249.31187241734,136.908388722688,113.022154152393,47.2990861325525,0,55.0112205147743,106.811693982687,124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,"SAV-N",45.3592
5060,"5061","Capture",11,6,2015,"SAV","N","NO","M",1.5,1.5,102,"c(521373.0613",249.31187241734,136.908388722688,113.022154152393,47.2990861325525,0,55.0112205147743,106.811693982687,124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,"SAV-N",46.266384
5082,"5083","Capture",11,18,2016,"SAV","N","YES","F",1.5,1.5,74.5,"c(520662.3779",208.848465377698,197.26946226717,11.579003110528,111.822804855183,10.0319967865944,61.2263769749553,183.569924153853,249.31187241734,136.908388722688,113.022154152393,47.2990861325525,0,55.0112205147743,106.811693982687,"SAV-N",33.792604
5084,"5085","Capture",11,18,2016,"SAV","N","YES","F",1.5,1.5,64.5,"c(520647.1505",208.848465377698,197.26946226717,11.579003110528,111.822804855183,10.0319967865944,61.2263769749553,183.569924153853,249.31187241734,136.908388722688,113.022154152393,47.2990861325525,0,55.0112205147743,106.811693982687,"SAV-N",29.256684
5086,"5087","Capture",11,6,2015,"SAV","N","NO","M",1.5,1.5,94,"c(521248.5082",249.31187241734,136.908388722688,113.022154152393,47.2990861325525,0,55.0112205147743,106.811693982687,124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,"SAV-N",42.637648
5088,"5089","Capture",11,6,2015,"SAV","N","NO","F",1.5,1.5,53,"c(521289.8184",249.31187241734,136.908388722688,113.022154152393,47.2990861325525,0,55.0112205147743,106.811693982687,124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,"SAV-N",24.040376
5090,"5091","Capture",11,6,2015,"SAV","N","NO","M",1.5,1.5,100,"c(521192.9457",249.31187241734,136.908388722688,113.022154152393,47.2990861325525,0,55.0112205147743,106.811693982687,124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,"SAV-N",45.3592
5104,"5105","Capture",11,6,2015,"SAV","N","NO","F",1.5,1.5,73,"c(522359.1529",249.31187241734,136.908388722688,113.022154152393,47.2990861325525,0,55.0112205147743,106.811693982687,124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,"SAV-N",33.112216
5110,"5111","Capture",11,6,2015,"SAV","N","NO","F",1.5,1.5,88,"c(522312.7999",249.31187241734,136.908388722688,113.022154152393,47.2990861325525,0,55.0112205147743,106.811693982687,124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,"SAV-N",39.916096
